momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【阿仁牛軋餅】招牌蔓越莓雪Q餅(超值四送一),"1,145",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11376394&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i3.momoshop.com.tw/1692468046/goodsimg/0011/376/394/11376394_OR_m.webp,雪之戀 【皇族】九份芋圓Q餅 300g/盒,130,https://24h.pchome.com.tw/prod/DBACQJ-A900HDMMF,https://img.pchome.com.tw/cs/items/DBACQJA900HDMMF/000001_1712742925.jpg?width=320
【新竹福源】花生醬雪Q餅(150g),125,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8225240&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1692978473/goodsimg/0008/225/240/8225240_OR_m.webp,皇覺 紅寶石蔓越莓牛軋雪Q餅1盒,769,https://24h.pchome.com.tw/prod/DBACFN-A900FG2AN,https://img.pchome.com.tw/cs/items/DBACFNA900FG2AN/000001_1661934699.jpg?width=320
【新竹福源】雪Q餅/夾心餅(花生醬雪Q餅/花生醬夾心餅/黑芝麻醬夾心餅),130,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7830666&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1699293624/goodsimg/0007/830/666/7830666_OR_m.webp,福源 【新竹】花生醬雪Q餅150g,115,https://24h.pchome.com.tw/prod/DBACPI-A900AYWMF,https://img.pchome.com.tw/cs/items/DBACPIA900AYWMF/000001_1604381887.jpg?width=320
【新竹福源】雪Q餅/夾心餅 任選3包(花生醬雪Q餅/花生醬夾心餅/芝麻醬夾心餅),298,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8370866&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1711225863/goodsimg/0008/370/866/8370866_OR_m.webp,PungPung 找香香 優果香果乾牛軋糖/雪Q餅/燕麥脆片-約10010g/袋,299,https://24h.pchome.com.tw/prod/DBCZ56-A900FYP6S,https://img.pchome.com.tw/cs/items/DBCZ56A900FYP6S/000001_1675145880.jpg?width=320
【阿仁牛軋餅】抹茶腰果雪Q餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8183069&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1692976446/goodsimg/0008/183/069/8183069_OR_m.webp,皇覺 巧克力可可牛軋雪Q餅1盒,769,https://24h.pchome.com.tw/prod/DBACFN-A900FG10P,https://img.pchome.com.tw/cs/items/DBACFNA900FG10P/000001_1661918139.jpg?width=320
【阿仁牛軋餅】雙層肉鬆雪Ｑ餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10151859&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i3.momoshop.com.tw/1692209563/goodsimg/0010/151/859/10151859_OR_m.webp,皇覺 【南紡購物中心】 手工蔓越莓雪花餅雪Q餅(160g/入共3入)x5盒 ,4299,https://24h.pchome.com.tw/prod/QFBX3D-A900AREEU,https://img.pchome.com.tw/cs/items/QFBX3DA900AREEU/000001_1594622884.jpg?width=320
【阿仁牛軋餅】招牌蔓越莓雪Ｑ餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8183065&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1692977144/goodsimg/0008/183/065/8183065_OR_m.webp,皇覺 【南紡購物中心】 手工蔓越莓雪花餅雪Q餅(160g/入共3入)x3盒 ,2659,https://24h.pchome.com.tw/prod/QFBX3D-A900AREET,https://img.pchome.com.tw/cs/items/QFBX3DA900AREET/000001_1594622876.jpg?width=320
【阿仁牛軋餅】OREO雪Ｑ餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8749270&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1693061842/goodsimg/0008/749/270/8749270_OR_m.webp,皇覺 【南紡購物中心】 手工蔓越莓雪花餅雪Q餅(160g/入共3入)x1盒 ,999,https://24h.pchome.com.tw/prod/QFBX3D-A900AREF1,https://img.pchome.com.tw/cs/items/QFBX3DA900AREF1/000001_1594622908.jpg?width=320
【阿仁牛軋餅】蛋奶素-招牌蔓越莓雪Ｑ餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8394571&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1692989007/goodsimg/0008/394/571/8394571_OR_m.webp,喜笑花生 【南紡購物中心】 花漾手提盒(貢糖x1包+雪Q餅x1包) ,450,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS7V,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS7V/000001_1702379558.jpg?width=320
【阿仁牛軋餅】花生雪Q餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8183067&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1692976452/goodsimg/0008/183/067/8183067_OR_m.webp,喜笑花生 【南紡購物中心】 花漾提盒大禮盒C款(貢糖x1包+雪Q餅x1包+黑金剛白芝麻花生糖x1包) ,650,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS8R,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS8R/000001_1702379969.jpg?width=320
【找香香PungPung】優果香果乾牛軋糖/雪Q餅/燕麥脆片-約100±10g/袋(果乾點心香甜新風味),248,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11010195&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1692461648/goodsimg/0011/010/195/11010195_OR_m.webp,喜笑花生 【南紡購物中心】 花漾提盒大禮盒A款(貢糖x1包+雪Q餅x1包+黑金剛原味花生糖x1包) ,650,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS8Q,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS8Q/000001_1702379944.jpg?width=320
【喜笑花生】喜笑雪Q餅200g/包x3包(吳啟魯/黑金剛花生/花青素/新鮮),473,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471505&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000683/goodsimg/0012/471/505/12471505_OR_m.webp,喜笑花生 【南紡購物中心】 花漾提盒大禮盒B款(貢糖x1包+雪Q餅x1包+黑金剛南瓜子花生糖x1包) ,650,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS9X,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS9X/000001_1702379957.jpg?width=320
【阿仁牛軋餅】芒果雪Q餅(純手工現做),273,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11296382&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i3.momoshop.com.tw/1692459323/goodsimg/0011/296/382/11296382_OR_m.webp,喜笑花生 【南紡購物中心】 喜笑雪Q餅(每包200g共三包) ,570,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS89,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS89/000001_1702379545.jpg?width=320
【溫莎公煮】7種口味雪Q餅210g/包x6包(任選蔓越莓/紫心地瓜/鹹蛋黃/抹茶杏仁/檸檬蛋糕/起司乳酪/可可杏仁),"1,394",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9895993&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1693165734/goodsimg/0009/895/993/9895993_OR_m.webp,TRIARROW 三箭牌 牛軋糖/雪Q餅多用途矽膠壓模墊(25x35cm),349,https://24h.pchome.com.tw/prod/DECF18-A900HGAFP,https://img.pchome.com.tw/cs/items/DECF18A900HGAFP/000001_1715051808.jpg?width=320
【新竹福源】花生醬雪Q餅150g(3包組),296,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11201447&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1692484724/goodsimg/0011/201/447/11201447_OR_m.webp,,,,
【喜笑花生】花漾提盒大禮盒700g/盒｜貢糖x1｜雪Q餅x1｜花生糖x1(吳啟魯/黑金剛花生/花青素/新鮮),539,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471607&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000717/goodsimg/0012/471/607/12471607_OR_m.webp,,,,
【雞百分】黃金鳳梨雪花餅(鳳梨口味／雪Ｑ餅／獨立包裝／台灣製／人氣伴手禮),224,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10217537&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i3.momoshop.com.tw/1711623747/goodsimg/0010/217/537/10217537_OR_m.webp,,,,
【喜笑花生】花漾手提盒400g/盒｜貢糖x1包｜雪Q餅x1包(吳啟魯/黑金剛花生/花青素/新鮮),373,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471506&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1706000683/goodsimg/0012/471/506/12471506_OR_m.webp,,,,
【阿仁牛軋餅】香柚雪Ｑ餅(純手工現做),280,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9203248&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i3.momoshop.com.tw/1628703860/goodsimg/0009/203/248/9203248_OR_m.webp,,,,
【沐日居家】禮物袋 50入 聖誕節 萬聖節 糖果袋 餅乾袋 雪Q餅(包裝 禮物 兔耳朵 禮品),320,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12232423&Area=search&mdiv=403&oid=1_20&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1702976490/goodsimg/0012/232/423/12232423_OR_m.webp,,,,
【果乾小弟】奶香果乾雪Q餅 雪花餅 大包裝2包(一包內有4種口味 鳳梨/草莓/蔓越莓/芒果),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13263242&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1726644193/goodsimg/0013/263/242/13263242_OR_m.webp,,,,
【SANNENG 三能】不銹鋼牛軋糖烤盤SN1341(糖盤 雪Q餅烤盤),672,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10229213&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1692282968/goodsimg/0010/229/213/10229213_OR_m.webp,,,,
【果乾小弟】奶香果乾雪Q餅 雪花餅 大包裝10包(一包內有4種口味 鳳梨/草莓/蔓越莓/芒果),"2,299",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13263244&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i3.momoshop.com.tw/1726643578/goodsimg/0013/263/244/13263244_OR_m.webp,,,,
【生活King】牛軋糖/雪Q餅多用途矽膠壓模墊(25x35cm),269,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12816296&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1715144470/goodsimg/0012/816/296/12816296_OR_m.webp,,,,
【果乾小弟】奶香果乾雪Q餅 雪花餅 大包裝4包(一包內有4種口味 鳳梨/草莓/蔓越莓/芒果),999,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13263243&Area=search&mdiv=403&oid=1_25&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1726643516/goodsimg/0013/263/243/13263243_OR_m.webp,,,,
